Log File Name:,.\log\cowrie.json.2020-11-10.txt
Time Stamp,Action Type,Session,IP,Command List,List Mitre Attack
2020-11-10T09:21:52.690636Z,Version,86a1db01806e,103.125.43.28,-,
2020-11-10T09:21:52.713371Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,86a1db01806e,103.125.43.28,-,
2020-11-10T09:21:56.385381Z,Login attemp as skripsi@P@ssW0rd failed,86a1db01806e,103.125.43.28,-,
2020-11-10T09:22:02.742335Z,Login attemp as skripsi@P@ssW0rd failed,86a1db01806e,103.125.43.28,-,
2020-11-10T09:22:07.218753Z,Connection lost from SSH,86a1db01806e,103.125.43.28,-,
2020-11-10T09:22:23.275387Z,New Connection to SSH,69ea7a55db53,103.125.43.28,-,
2020-11-10T09:22:23.276310Z,Version,69ea7a55db53,103.125.43.28,-,
2020-11-10T09:22:23.294507Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,69ea7a55db53,103.125.43.28,-,
2020-11-10T09:22:26.914951Z,Login attemp as root@P@ssW0rd success,69ea7a55db53,103.125.43.28,-,
2020-11-10T09:22:27.139388Z,Cowrie save the size of terminal session as height: 30 and width 120,69ea7a55db53,103.125.43.28,-,
2020-11-10T09:22:27.151832Z,CPU/OS architecture emulated by cowrie saved as linux-x64-lsb,69ea7a55db53,103.125.43.28,-,
2020-11-10T09:22:35.229291Z,Run a command,69ea7a55db53,103.125.43.28,exot,
2020-11-10T09:22:35.230660Z,Command failed to run,69ea7a55db53,103.125.43.28,Command not found: exot,
2020-11-10T09:22:36.674128Z,Run a command,69ea7a55db53,103.125.43.28,exot,
2020-11-10T09:22:36.675086Z,Command failed to run,69ea7a55db53,103.125.43.28,Command not found: exot,
2020-11-10T09:22:38.774177Z,Run a command,69ea7a55db53,103.125.43.28,exit,
2020-11-10T09:22:38.775391Z,Closing TTY Log (Input Log) for this Session,69ea7a55db53,103.125.43.28,-,
2020-11-10T09:22:38.794625Z,Connection lost from SSH,69ea7a55db53,103.125.43.28,-,
2020-11-10T09:35:25.496208Z,New Connection to SSH,57722fe4d246,103.125.43.28,-,
2020-11-10T09:35:25.508406Z,Version,57722fe4d246,103.125.43.28,-,
2020-11-10T09:35:25.531530Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,57722fe4d246,103.125.43.28,-,
2020-11-10T09:35:25.585446Z,Connection lost from SSH,57722fe4d246,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:35:29.265657Z,New Connection to SSH,ea57e107d3ed,110.138.151.174,-,
2020-11-10T09:35:29.270877Z,Version,ea57e107d3ed,110.138.151.174,-,
2020-11-10T09:35:29.312401Z,Cowrie save the SSH client hassh fingerprint as 740d79e2cbb9ce5f5e1118beefbb4e34,ea57e107d3ed,110.138.151.174,-,
2020-11-10T09:35:38.847435Z,Login attemp as skripsi@P@ssW0rd failed,ea57e107d3ed,110.138.151.174,-,
2020-11-10T09:35:39.090806Z,New Connection to SSH,4ea2ca4eaf92,103.125.43.28,-,
2020-11-10T09:35:39.092163Z,Version,4ea2ca4eaf92,103.125.43.28,-,
2020-11-10T09:35:39.110403Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,4ea2ca4eaf92,103.125.43.28,-,
2020-11-10T09:35:41.719084Z,Connection lost from SSH,4ea2ca4eaf92,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:35:42.931594Z,New Connection to SSH,659eb60c67ef,103.125.43.28,-,
2020-11-10T09:35:42.933016Z,Version,659eb60c67ef,103.125.43.28,-,
2020-11-10T09:35:42.955457Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,659eb60c67ef,103.125.43.28,-,
2020-11-10T09:35:43.053203Z,Connection lost from SSH,659eb60c67ef,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:35:46.341380Z,Login attemp as skripsi@P@ssW0rd failed,ea57e107d3ed,110.138.151.174,-,
2020-11-10T09:35:49.023130Z,Login attemp as skripsi@l failed,ea57e107d3ed,110.138.151.174,-,
2020-11-10T09:35:50.076599Z,Connection lost from SSH,ea57e107d3ed,110.138.151.174,-,
2020-11-10T09:38:25.003770Z,New Connection to SSH,16b39054d06f,103.125.43.28,-,
2020-11-10T09:38:25.065661Z,Version,16b39054d06f,103.125.43.28,-,
2020-11-10T09:38:25.092992Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,16b39054d06f,103.125.43.28,-,
2020-11-10T09:38:25.147377Z,Connection lost from SSH,16b39054d06f,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:39:08.954803Z,New Connection to SSH,2679b2cd9432,103.125.43.28,-,
2020-11-10T09:39:08.974904Z,Version,2679b2cd9432,103.125.43.28,-,
2020-11-10T09:39:09.013093Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,2679b2cd9432,103.125.43.28,-,
2020-11-10T09:39:09.067668Z,Connection lost from SSH,2679b2cd9432,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:40:53.261436Z,New Connection to SSH,2e31dfe117da,140.213.33.218,-,
2020-11-10T09:40:53.267652Z,Version,2e31dfe117da,140.213.33.218,-,
2020-11-10T09:40:53.324236Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,2e31dfe117da,140.213.33.218,-,
2020-11-10T09:40:59.231345Z,New Connection to SSH,aec36e427401,110.138.151.174,-,
2020-11-10T09:40:59.489135Z,New Connection to SSH,f92884be2913,110.138.151.174,-,
2020-11-10T09:40:59.491071Z,Version,f92884be2913,110.138.151.174,-,
2020-11-10T09:40:59.492223Z,Connection lost from SSH,f92884be2913,110.138.151.174,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:41:00.453640Z,Login attemp as root@passwordasdasdasda success,2e31dfe117da,140.213.33.218,-,
2020-11-10T09:41:00.833901Z,Cowrie save the size of terminal session as height: 30 and width 120,2e31dfe117da,140.213.33.218,-,
2020-11-10T09:41:01.014637Z,CPU/OS architecture emulated by cowrie saved as linux-x64-lsb,2e31dfe117da,140.213.33.218,-,
2020-11-10T09:41:08.468851Z,Run a command,2e31dfe117da,140.213.33.218,test,
2020-11-10T09:41:08.478745Z,Command failed to run,2e31dfe117da,140.213.33.218,Command not found: test,
2020-11-10T09:41:15.942449Z,Run a command,2e31dfe117da,140.213.33.218,apakah ini masuk,
2020-11-10T09:41:15.966629Z,Command failed to run,2e31dfe117da,140.213.33.218,Command not found: apakah ini masuk,
2020-11-10T09:41:17.851441Z,Run a command,2e31dfe117da,140.213.33.218,blah,
